Namespace(attr_loss_weight=1.0, batch_size=64, bottleneck=False, ckpt='', connect_CY=False, data_dir='ConceptModel2__PredConcepts', dataset='cub', end2end=False, epochs=1000, exp='Sequential_CtoY', expand_dim=0, freeze=False, image_dir='images', log_dir='outputs/', lr=0.001, n_attributes=112, n_class_attr=2, no_img=True, normalize_loss=False, optimizer='sgd', pretrained=True, resampling=False, save_step=1000, scheduler_step=1000, seed=2, three_class=False, uncertain_labels=False, use_attr=True, use_aux=True, use_relu=False, use_sigmoid=False, weight_decay=4e-05, weighted_loss='')
None
train data path: ConceptModel2__PredConcepts/train.pkl
New model best model at epoch 0
Epoch [0]:	Train loss: 6.1135	Train accuracy: 25.9713	Val loss: 1.2021	Val acc: 72.7045	Best val epoch: 0
New model best model at epoch 1
Epoch [1]:	Train loss: 0.7082	Train accuracy: 86.7399	Val loss: 0.4918	Val acc: 90.0668	Best val epoch: 1
New model best model at epoch 2
Epoch [2]:	Train loss: 0.4542	Train accuracy: 92.0608	Val loss: 0.3979	Val acc: 92.4040	Best val epoch: 2
New model best model at epoch 3
Epoch [3]:	Train loss: 0.3876	Train accuracy: 93.2855	Val loss: 0.3460	Val acc: 93.7396	Best val epoch: 3
New model best model at epoch 4
Epoch [4]:	Train loss: 0.3586	Train accuracy: 93.5600	Val loss: 0.3341	Val acc: 93.8230	Best val epoch: 4
New model best model at epoch 5
Epoch [5]:	Train loss: 0.3315	Train accuracy: 93.9612	Val loss: 0.3137	Val acc: 94.1569	Best val epoch: 5
New model best model at epoch 6
Epoch [6]:	Train loss: 0.3082	Train accuracy: 94.4679	Val loss: 0.2916	Val acc: 94.6578	Best val epoch: 6
Epoch [7]:	Train loss: 0.3021	Train accuracy: 94.6157	Val loss: 0.2906	Val acc: 94.6578	Best val epoch: 6
New model best model at epoch 8
Epoch [8]:	Train loss: 0.2856	Train accuracy: 94.8691	Val loss: 0.2751	Val acc: 95.1586	Best val epoch: 8
Epoch [9]:	Train loss: 0.2803	Train accuracy: 94.7213	Val loss: 0.2724	Val acc: 95.1586	Best val epoch: 8
Epoch [10]:	Train loss: 0.2676	Train accuracy: 95.2280	Val loss: 0.2669	Val acc: 94.9082	Best val epoch: 8
Epoch [11]:	Train loss: 0.2628	Train accuracy: 95.2492	Val loss: 0.2703	Val acc: 94.7412	Best val epoch: 8
Epoch [12]:	Train loss: 0.2581	Train accuracy: 95.1647	Val loss: 0.2635	Val acc: 95.0751	Best val epoch: 8
New model best model at epoch 13
Epoch [13]:	Train loss: 0.2494	Train accuracy: 95.5870	Val loss: 0.2607	Val acc: 95.3255	Best val epoch: 13
Epoch [14]:	Train loss: 0.2488	Train accuracy: 95.3336	Val loss: 0.2574	Val acc: 95.1586	Best val epoch: 13
Epoch [15]:	Train loss: 0.2444	Train accuracy: 95.5237	Val loss: 0.2507	Val acc: 95.2421	Best val epoch: 13
New model best model at epoch 16
