Namespace(attr_loss_weight=1.0, batch_size=64, bottleneck=False, ckpt='', connect_CY=False, data_dir='ConceptModel3__PredConcepts', dataset='cub', end2end=False, epochs=1000, exp='Sequential_CtoY', expand_dim=0, freeze=False, image_dir='images', log_dir='outputs/', lr=0.001, n_attributes=112, n_class_attr=2, no_img=True, normalize_loss=False, optimizer='sgd', pretrained=True, resampling=False, save_step=1000, scheduler_step=1000, seed=3, three_class=False, uncertain_labels=False, use_attr=True, use_aux=True, use_relu=False, use_sigmoid=False, weight_decay=4e-05, weighted_loss='')
None
train data path: ConceptModel3__PredConcepts/train.pkl
New model best model at epoch 0
Epoch [43]:	Train loss: 0.1724	Train accuracy: 96.8961	Val loss: 0.2273	Val acc: 95.0751	Best val epoch: 27
Epoch [44]:	Train loss: 0.1722	Train accuracy: 96.9383	Val loss: 0.2283	Val acc: 95.0751	Best val epoch: 27
Epoch [45]:	Train loss: 0.1715	Train accuracy: 96.9172	Val loss: 0.2286	Val acc: 95.0751	Best val epoch: 27
Epoch [46]:	Train loss: 0.1716	Train accuracy: 96.8961	Val loss: 0.2259	Val acc: 95.0751	Best val epoch: 27
Epoch [47]:	Train loss: 0.1696	Train accuracy: 97.0439	Val loss: 0.2262	Val acc: 95.2421	Best val epoch: 27
Epoch [48]:	Train loss: 0.1679	Train accuracy: 97.0228	Val loss: 0.2242	Val acc: 95.3255	Best val epoch: 27
Epoch [49]:	Train loss: 0.1681	Train accuracy: 97.0228	Val loss: 0.2232	Val acc: 95.2421	Best val epoch: 27
Epoch [50]:	Train loss: 0.1666	Train accuracy: 97.0650	Val loss: 0.2261	Val acc: 94.9917	Best val epoch: 27
Epoch [51]:	Train loss: 0.1651	Train accuracy: 97.1495	Val loss: 0.2249	Val acc: 94.9917	Best val epoch: 27
Epoch [52]:	Train loss: 0.1627	Train accuracy: 97.1706	Val loss: 0.2248	Val acc: 95.0751	Best val epoch: 27
Epoch [53]:	Train loss: 0.1621	Train accuracy: 97.1495	Val loss: 0.2259	Val acc: 94.9082	Best val epoch: 27
Epoch [54]:	Train loss: 0.1612	Train accuracy: 97.2128	Val loss: 0.2253	Val acc: 95.0751	Best val epoch: 27
Epoch [55]:	Train loss: 0.1613	Train accuracy: 97.2128	Val loss: 0.2246	Val acc: 95.2421	Best val epoch: 27
Epoch [56]:	Train loss: 0.1600	Train accuracy: 97.4029	Val loss: 0.2259	Val acc: 94.7412	Best val epoch: 27
Epoch [57]:	Train loss: 0.1578	Train accuracy: 97.2973	Val loss: 0.2227	Val acc: 95.1586	Best val epoch: 27
Epoch [58]:	Train loss: 0.1596	Train accuracy: 97.3184	Val loss: 0.2244	Val acc: 94.9082	Best val epoch: 27
Epoch [59]:	Train loss: 0.1575	Train accuracy: 97.2762	Val loss: 0.2228	Val acc: 95.1586	Best val epoch: 27
Epoch [60]:	Train loss: 0.1555	Train accuracy: 97.4662	Val loss: 0.2298	Val acc: 94.9082	Best val epoch: 27
Epoch [61]:	Train loss: 0.1559	Train accuracy: 97.3818	Val loss: 0.2229	Val acc: 95.0751	Best val epoch: 27
Epoch [62]:	Train loss: 0.1558	Train accuracy: 97.3818	Val loss: 0.2239	Val acc: 94.9082	Best val epoch: 27
Epoch [63]:	Train loss: 0.1543	Train accuracy: 97.3818	Val loss: 0.2237	Val acc: 94.8247	Best val epoch: 27
Epoch [64]:	Train loss: 0.1526	Train accuracy: 97.4873	Val loss: 0.2224	Val acc: 94.9917	Best val epoch: 27
Epoch [65]:	Train loss: 0.1522	Train accuracy: 97.5084	Val loss: 0.2228	Val acc: 94.8247	Best val epoch: 27
Epoch [66]:	Train loss: 0.1504	Train accuracy: 97.6140	Val loss: 0.2229	Val acc: 94.9917	Best val epoch: 27
Epoch [67]:	Train loss: 0.1505	Train accuracy: 97.5084	Val loss: 0.2231	Val acc: 94.8247	Best val epoch: 27
Epoch [68]:	Train loss: 0.1481	Train accuracy: 97.7407	Val loss: 0.2219	Val acc: 95.0751	Best val epoch: 27
Epoch [69]:	Train loss: 0.1490	Train accuracy: 97.6140	Val loss: 0.2211	Val acc: 94.8247	Best val epoch: 27
Epoch [70]:	Train loss: 0.1479	Train accuracy: 97.5507	Val loss: 0.2216	Val acc: 94.8247	Best val epoch: 27
Epoch [71]:	Train loss: 0.1480	Train accuracy: 97.5718	Val loss: 0.2259	Val acc: 94.8247	Best val epoch: 27
Epoch [72]:	Train loss: 0.1475	Train accuracy: 97.5507	Val loss: 0.2222	Val acc: 94.8247	Best val epoch: 27
Epoch [73]:	Train loss: 0.1469	Train accuracy: 97.5718	Val loss: 0.2224	Val acc: 94.9917	Best val epoch: 27
Epoch [74]:	Train loss: 0.1443	Train accuracy: 97.6140	Val loss: 0.2221	Val acc: 94.9082	Best val epoch: 27
Epoch [75]:	Train loss: 0.1444	Train accuracy: 97.6562	Val loss: 0.2220	Val acc: 94.9082	Best val epoch: 27
Epoch [76]:	Train loss: 0.1440	Train accuracy: 97.5929	Val loss: 0.2221	Val acc: 94.9917	Best val epoch: 27
Epoch [77]:	Train loss: 0.1427	Train accuracy: 97.7196	Val loss: 0.2213	Val acc: 94.9917	Best val epoch: 27
Epoch [78]:	Train loss: 0.1415	Train accuracy: 97.6562	Val loss: 0.2205	Val acc: 95.0751	Best val epoch: 27
Epoch [79]:	Train loss: 0.1421	Train accuracy: 97.7196	Val loss: 0.2234	Val acc: 94.8247	Best val epoch: 27
Epoch [80]:	Train loss: 0.1427	Train accuracy: 97.6140	Val loss: 0.2233	Val acc: 94.8247	Best val epoch: 27
Epoch [81]:	Train loss: 0.1419	Train accuracy: 97.7407	Val loss: 0.2227	Val acc: 94.9082	Best val epoch: 27
