Namespace(attr_loss_weight=1.0, batch_size=64, bottleneck=False, ckpt='', connect_CY=False, data_dir='ConceptModel1__PredConcepts', dataset='cub', end2end=False, epochs=1000, exp='Sequential_CtoY', expand_dim=0, freeze=False, image_dir='images', log_dir='outputs/', lr=0.001, n_attributes=112, n_class_attr=2, no_img=True, normalize_loss=False, optimizer='sgd', pretrained=True, resampling=False, save_step=1000, scheduler_step=1000, seed=1, three_class=False, uncertain_labels=False, use_attr=True, use_aux=True, use_relu=False, use_sigmoid=False, weight_decay=4e-05, weighted_loss='')
None
train data path: ConceptModel1__PredConcepts/train.pkl
New model best model at epoch 0
Epoch [0]:	Train loss: 5.9169	Train accuracy: 25.6757	Val loss: 1.2693	Val acc: 70.2838	Best val epoch: 0
New model best model at epoch 1
Epoch [1]:	Train loss: 0.7077	Train accuracy: 86.6976	Val loss: 0.4805	Val acc: 92.7379	Best val epoch: 1
New model best model at epoch 2
Epoch [2]:	Train loss: 0.4496	Train accuracy: 92.4409	Val loss: 0.3836	Val acc: 93.6561	Best val epoch: 2
New model best model at epoch 3
Epoch [3]:	Train loss: 0.3919	Train accuracy: 93.0954	Val loss: 0.3473	Val acc: 94.1569	Best val epoch: 3
New model best model at epoch 4
Epoch [4]:	Train loss: 0.3617	Train accuracy: 93.5389	Val loss: 0.3286	Val acc: 94.5743	Best val epoch: 4
Epoch [5]:	Train loss: 0.3319	Train accuracy: 94.4468	Val loss: 0.3285	Val acc: 93.4057	Best val epoch: 4
Epoch [6]:	Train loss: 0.3242	Train accuracy: 94.2990	Val loss: 0.3130	Val acc: 93.6561	Best val epoch: 4
Epoch [7]:	Train loss: 0.3122	Train accuracy: 94.4257	Val loss: 0.2957	Val acc: 93.9065	Best val epoch: 4
Epoch [8]:	Train loss: 0.3034	Train accuracy: 94.5312	Val loss: 0.2884	Val acc: 94.3239	Best val epoch: 4
Epoch [9]:	Train loss: 0.2954	Train accuracy: 94.7424	Val loss: 0.2803	Val acc: 94.5743	Best val epoch: 4
Epoch [10]:	Train loss: 0.2879	Train accuracy: 94.5946	Val loss: 0.2754	Val acc: 94.5743	Best val epoch: 4
New model best model at epoch 11
Epoch [11]:	Train loss: 0.2795	Train accuracy: 94.8269	Val loss: 0.2758	Val acc: 94.7412	Best val epoch: 11
Epoch [12]:	Train loss: 0.2742	Train accuracy: 94.9958	Val loss: 0.2710	Val acc: 94.3239	Best val epoch: 11
Epoch [13]:	Train loss: 0.2688	Train accuracy: 95.1436	Val loss: 0.2687	Val acc: 94.3239	Best val epoch: 11
Epoch [14]:	Train loss: 0.2621	Train accuracy: 95.1858	Val loss: 0.2682	Val acc: 94.5743	Best val epoch: 11
New model best model at epoch 15
Epoch [15]:	Train loss: 0.2599	Train accuracy: 95.3970	Val loss: 0.2626	Val acc: 94.8247	Best val epoch: 15
New model best model at epoch 16
Epoch [16]:	Train loss: 0.2569	Train accuracy: 95.2703	Val loss: 0.2578	Val acc: 95.1586	Best val epoch: 16
Epoch [17]:	Train loss: 0.2532	Train accuracy: 95.3547	Val loss: 0.2624	Val acc: 94.4908	Best val epoch: 16
Epoch [18]:	Train loss: 0.2471	Train accuracy: 95.3336	Val loss: 0.2593	Val acc: 94.4073	Best val epoch: 16
Epoch [19]:	Train loss: 0.2466	Train accuracy: 95.3336	Val loss: 0.2617	Val acc: 94.8247	Best val epoch: 16
Epoch [20]:	Train loss: 0.2425	Train accuracy: 95.3970	Val loss: 0.2522	Val acc: 94.9082	Best val epoch: 16
Epoch [21]:	Train loss: 0.2434	Train accuracy: 95.2280	Val loss: 0.2547	Val acc: 94.5743	Best val epoch: 16
New model best model at epoch 22
Epoch [22]:	Train loss: 0.2339	Train accuracy: 95.5025	Val loss: 0.2488	Val acc: 95.3255	Best val epoch: 22
Epoch [23]:	Train loss: 0.2333	Train accuracy: 95.6081	Val loss: 0.2480	Val acc: 95.0751	Best val epoch: 22
Epoch [24]:	Train loss: 0.2337	Train accuracy: 95.5448	Val loss: 0.2538	Val acc: 94.3239	Best val epoch: 22
Epoch [25]:	Train loss: 0.2311	Train accuracy: 95.5448	Val loss: 0.2504	Val acc: 94.8247	Best val epoch: 22
Epoch [26]:	Train loss: 0.2316	Train accuracy: 95.5025	Val loss: 0.2454	Val acc: 94.9082	Best val epoch: 22
